Ticker,Stockprice2013,Stockprice2014,Stockprice2015,Stockprice2016,Stockprice2017,Stockprice2018
ROG,52.35346622,62.32567462,65.2370635,60.07257943,112.871036,161.8352378
NVS,53.17056258,66.24272584,75.34310308,61.67833501,67.03003123,72.4831216
PFE,23.26208656,25.14081581,28.92727901,29.18143253,31.4605029,34.30915537
GSK,36.10104416,38.33345145,34.69488163,35.00680681,35.69839788,33.98305993
JNJ,72.17106103,87.26575854,88.80528165,104.1003594,122.0548097,131.3270789
